2024-06-30 23:54:58,209 - INFO - Configuration:
{
    "task": "2",
    "topic": "ft_balanced_best_mix_fusion",
    "fusion": true,
    "feature_save_dir": "",
    "number_gpus": "1",
    "modalities": [
        "rgb",
        "ir",
        "depth",
        "skeleton"
    ],
    "encoder_model": "MIX",
    "modalities_encoders": {
        "rgb": "CLIP-VIP",
        "ir": "OMNIVORE",
        "depth": "OMNIVORE",
        "skeleton": "CLIP-VIP"
    },
    "dataset": "DAA",
    "split": "1",
    "num_classes": 34,
    "in_features": 512,
    "full_train_classifiers": false,
    "epochs": 500,
    "res_cktp": false,
    "mixed_frames": false,
    "augs": true,
    "cktp_dir": "/home/bas06400/Thesis/VIP/src/align_checkpoints",
    "aligned_model": "checkpoint_rgb_ir_depth_skeleton_MIX_DAA_1_20240629_004303.pth",
    "learning_rate": 1e-05,
    "temperature": 0.1,
    "num_workers": 10,
    "data_list": "/home/bas06400/Thesis/rgb_ir_dataset.txt",
    "data_root": "/net/polaris/storage/deeplearning/ntu",
    "batch_size": 32,
    "random_sample": false,
    "pin_memory": true,
    "clip_config": "openai/clip-vit-base-patch16",
    "clip_weights": "openai/clip-vit-base-patch16",
    "clip_vision_additional_config": {
        "type": "ViP",
        "temporal_size": 12,
        "if_use_temporal_embed": true,
        "logit_scale_init_value": 4.6,
        "add_cls_num": 3
    },
    "e2e_weights_path": "/home/bas06400/Thesis/pretrain_clipvip_base_16.pt"
}
2024-06-30 23:54:58,376 - INFO - Applying Augmentations
2024-06-30 23:54:58,380 - INFO - Applying Augmentations
2024-06-30 23:54:58,385 - INFO - Applying Augmentations
2024-06-30 23:54:58,386 - INFO - Training classifiers...
2024-06-30 23:54:58,437 - INFO - Training on the following GPUs [0]
2024-06-30 23:55:00,504 - INFO - Using depth mode summed_rgb_d_tokens
2024-06-30 23:55:02,005 - INFO - Using depth mode summed_rgb_d_tokens
2024-07-01 02:05:37,107 - INFO - Epoch 39, Val - all - Loss: 1.4249, Accuracy: 0.8181, Balanced Accuracy: 0.6483
2024-07-01 02:05:52,472 - INFO - Epoch 40, Train - all - Loss: 0.0102, Accuracy: 0.9978, Balanced Accuracy: 0.9978
2024-07-01 02:05:52,541 - INFO - Epoch 40, Val - all - Loss: 1.4283, Accuracy: 0.8181, Balanced Accuracy: 0.6479
2024-07-01 02:06:07,741 - INFO - Epoch 41, Train - all - Loss: 0.0084, Accuracy: 0.9982, Balanced Accuracy: 0.9982
2024-07-01 02:06:07,810 - INFO - Epoch 41, Val - all - Loss: 1.4406, Accuracy: 0.8144, Balanced Accuracy: 0.6325
2024-07-01 02:06:22,544 - INFO - Epoch 42, Train - all - Loss: 0.0079, Accuracy: 0.9983, Balanced Accuracy: 0.9983
2024-07-01 02:06:22,595 - INFO - Epoch 42, Val - all - Loss: 1.4695, Accuracy: 0.8144, Balanced Accuracy: 0.6329
2024-07-01 02:06:40,004 - INFO - Epoch 43, Train - all - Loss: 0.0077, Accuracy: 0.9983, Balanced Accuracy: 0.9983
2024-07-01 02:06:40,076 - INFO - Epoch 43, Val - all - Loss: 1.4751, Accuracy: 0.8195, Balanced Accuracy: 0.6486
2024-07-01 02:06:56,700 - INFO - Epoch 44, Train - all - Loss: 0.0082, Accuracy: 0.9982, Balanced Accuracy: 0.9982
2024-07-01 02:06:56,783 - INFO - Epoch 44, Val - all - Loss: 1.4909, Accuracy: 0.8130, Balanced Accuracy: 0.6397
2024-07-01 02:07:14,109 - INFO - Epoch 45, Train - all - Loss: 0.0074, Accuracy: 0.9984, Balanced Accuracy: 0.9984
2024-07-01 02:07:14,194 - INFO - Epoch 45, Val - all - Loss: 1.5025, Accuracy: 0.8137, Balanced Accuracy: 0.6335
2024-07-01 02:07:32,972 - INFO - Epoch 46, Train - all - Loss: 0.0103, Accuracy: 0.9975, Balanced Accuracy: 0.9975
2024-07-01 02:07:33,056 - INFO - Epoch 46, Val - all - Loss: 1.5243, Accuracy: 0.8116, Balanced Accuracy: 0.6394
